19.17	=9.76*10^6	=13.75*10^9
287.06	=19.81*10^6	=132.91*10^9
2.68	=11.95*10^6	=2.06*10^9
105.22	=47.05*10^6	=617.24*10^9
222.55	=2.98*10^6	=78.03*10^9
10.26	=5.21*10^6	=5.41*10^9
23.78	=19.95*10^6	=121.76*10^9
155,200.00	982,971.00	=8.79*10^12
36.35	=2.41*10^6	=11.34*10^9
51.12	=6.39*10^6	=63.51*10^9
80.67	=32.25*10^6	=209.75*10^9
539.78	=1.97*10^6	=369.26*10^9
803.10	=30.14*10^6	=3.89*10^12
93.20	=22.84*10^6	=1.36*10^12
34.93	=12.67*10^6	=65.19*10^9
162.08	=6.65*10^6	=161.69*10^9
33.18	=27.81*10^6	=164.27*10^9
11.22	=13.93*10^6	=119.45*10^9
63,600.00	425,892.00	=11.04*10^12
46.13	=61.08*10^6	=380.24*10^9
780,000.00	50,995.00	=25.84*10^12
385.02	=2.09*10^6	=23.20*10^9
882.00	388,100.00	=379.86*10^9
38.73	=8.98*10^6	=171.62*10^9
1,205.00	=5.12*10^6	=2.97*10^12
1,176.00	=3.21*10^6	=1.58*10^12
1,112,000.00	167,569.00	=185.39*10^12
1,886.50	=7.73*10^6	=2.18*10^12
119.60	=10.94*10^6	=1.11*10^12
49.95	=12.04*10^6	=30.73*10^9
43.50	=33.81*10^6	=43.27*10^9
2.37	=5.68*10^6	=2.12*10^9
76.00	=6.24*10^6	=127.38*10^9
8.34	=14.95*10^6	=31.52*10^9
11.35	892,493.00	=3.57*10^9
67.01	=1.39*10^6	=33.42*10^9
235.24	=3.47*10^6	=29.32*10^9
14.86	=1.76*10^6	=4.75*10^9
27.00	945,940.00	=25.68*10^9
71.91	=12.23*10^6	=9.06*10^9
130.50	=5.53*10^6	=110.50*10^9
18.27	573,815.00	=3.70*10^9
95.76	=32.13*10^6	=240.65*10^9
