20.73	0.00	=14.84*10^9
306.78	1,686.00	=141.17*10^9
4.04	1,000.00	=3.08*10^9
644.82	6,994.00	=555.44*10^9
163.38	0.00	=57.25*10^9
7.65	1,100.00	=4.03*10^9
24.50	3,000.00	=126.21*10^9
92,100.00	466,795.00	=1.22*10^12
34.95	0.00	=10.99*10^9
50.45	0.00	=63.94*10^9
63.34	10,684.00	=162.55*10^9
544.66	40.00	=370.79*10^9
729.00	=26.01*10^6	=3.52*10^12
92.90	=18.49*10^6	=1.22*10^12
33.76	0.00	=64.11*10^9
184.51	0.00	=186.76*10^9
27.60	1,062.00	=137.39*10^9
9.58	=37.01*10^6	=99.70*10^9
76,600.00	824,460.00	=12.48*10^12
40.32	6,690.00	=333.06*10^9
743,000.00	106,172.00	=22.14*10^12
423.21	0.00	=25.37*10^9
920.00	=1.18*10^6	=404.46*10^9
41.70	0.00	=185.94*10^9
1,133.00	=7.29*10^6	=2.62*10^12
1,323.00	=3.62*10^6	=1.75*10^12
1,457,000.00	270,141.00	=190.78*10^12
1,656.00	=7.69*10^6	=1.73*10^12
108.30	508,108.00	=1.01*10^12
32.90	32,969.00	=19.39*10^9
34.73	500.00	=34.97*10^9
3.27	0.00	=2.89*10^9
79.92	0.00	=134.89*10^9
7.82	35,700.00	=29.04*10^9
16.72	0.00	=5.27*10^9
64.17	0.00	=31.94*10^9
