20.35	4.27M/5.81M	14.55B
297.70	3.64M/5.85M	136.99B
4.02	17.17M/24.85M	3.06B
597.51	9.87M/10.39M	514.68B
154.77	2.73M/4.84M	54.23B
7.26	5.65M/10.29M	3.82B
24.37	40.48M/37.88M	125.54B
72,500.00	87,198.00/58,683.00	959.19B
34.44	4.51M/5.18M	10.40B
51.95	18.49M/13.12M	65.84B
58.02	47.93M/79.72M	148.90B
520.63	1.48M/2.92M	353.81B
691.00	31.30M/18.84M	3.34T
88.80	31.30M/18.84M	1.17T
32.52	8.03M/11.39M	61.76B
187.06	3.95M/4.81M	194.79B
25.82	30.02M/31.19M	128.53B
8.99	31.22M/34.69M	93.56B
68,500.00	577,391.00/737,913.00	11.16T
39.83	29.87M/33.89M	329.01B
752,000.00	174,275.00/152,448.00	22.41T
349.88	2.73M/4.10M	20.97B
882.00	1.68M/945,183.00	387.67B
41.69	15.50M/15.76M	185.89B
1,061.00	9.03M/9.30M	2.45T
1,190.00	6.95M/7.75M	1.57T
1,428,000.00	347,018.00/204,146.00	186.95T
1,646.00	15.76M/7.75M	1.72T
106.40	15.76M/7.75M	198.51B
32.26	21.39M/23.39M	19.01B
33.41	18.85M/27.59M	33.62B
3.35	33.38M/32.78M	2.79B
