18.85	=9.00*10^6	=13.62*10^9
303.64	=4.41*10^6	=139.93*10^9
2.72	=75.96*10^6	=2.03*10^9
97.67	=68.18*10^6	=576.39*10^9
211.73	=4.25*10^6	=74.06*10^9
9.49	=10.48*10^6	=4.89*10^9
23.25	=28.48*10^6	=116.84*10^9
144,900.00	996,359.00	=8.14*10^12
34.28	=4.88*10^6	=10.17*10^9
47.95	=13.94*10^6	=59.43*10^9
75.95	=76.34*10^6	=188.84*10^9
511.17	=5.53*10^6	=358.97*10^9
740.00	=21.26*10^6	=3.65*10^12
89.00	=66.23*10^6	=1.32*10^12
34.16	=15.44*10^6	=63.45*10^9
182.05	=4.35*10^6	=179.41*10^9
31.38	=37.50*10^6	=152.74*10^9
10.86	=67.33*10^6	=117.54*10^9
63,800.00	488,362.00	=11.14*10^12
43.63	=40.68*10^6	=352.17*10^9
766,000.00	73,099.00	=24.99*10^12
357.09	=11.31*10^6	=21.73*10^9
851.00	996,900.00	=374.13*10^9
37.87	=21.12*10^6	=166.44*10^9
1,130.00	=9.80*10^6	=2.87*10^12
1,138.00	=6.00*10^6	=1.53*10^12
1,089,000.00	325,635.00	=181.23*10^12
1,805.00	=9.73*10^6	=2.02*10^12
112.70	=15.07*10^6	=1.07*10^12
48.77	=24.63*10^6	=29.67*10^9
38.45	=24.11*10^6	=37.91*10^9
2.28	=13.80*10^6	=2.05*10^9
72.43	=8.47*10^6	=119.23*10^9
7.94	=10.42*10^6	=29.60*10^9
11.80	=2.03*10^6	=3.56*10^9
64.52	=6.54*10^6	=31.35*10^9
227.48	=10.55*10^6	=28.21*10^9
14.60	=3.19*10^6	=4.50*10^9
28.07	681,167.00	=26.54*10^9
74.63	=4.71*10^6	=9.16*10^9
129.00	=14.06*10^6	=105.13*10^9
18.03	=1.14*10^6	=3.70*10^9
87.91	=17.36*10^6	=223.28*10^9
