20.75	=10.60*10^6	=14.84*10^9
313.78	=2.37*10^6	=144.39*10^9
4.03	=8.88*10^6	=3.07*10^9
635.38	=13.44*10^6	=547.30*10^9
167.50	=2.27*10^6	=58.69*10^9
7.74	=21.45*10^6	=4.08*10^9
24.68	=21.64*10^6	=127.13*10^9
103,200.00	=98.00	=1.37*10^12
34.76	=2.38*10^6	=10.93*10^9
50.14	=16.76*10^6	=63.54*10^9
63.83	=42.66*10^6	=163.81*10^9
560.08	=1.35*10^6	=381.81*10^9
680.00	=0.00	=3.28*10^12
93.50	=23.42*10^6	=1.23*10^12
33.64	=9.86*10^6	=63.88*10^9
183.76	=2.76*10^6	=186.00*10^9
26.96	=20.64*10^6	=134.21*10^9
9.59	=51.13*10^6	=99.81*10^9
74,100.00	=59.00	=12.07*10^12
40.34	=19.89*10^6	=333.23*10^9
772,000.00	=0.00	=23.00*10^12
415.20	=3.26*10^6	=24.89*10^9
894.00	=0.00	=393.03*10^9
42.20	=9.63*10^6	=188.16*10^9
1,096.00	=0.00	=2.53*10^12
1,310.00	=0.00	=1.73*10^12
1,460,000.00	=3.00	=191.17*10^12
1,636.00	=0.00	=1.71*10^12
109.10	=8.45*10^6	=1.02*10^12
34.00	=53.99*10^6	=20.04*10^9
34.90	=9.78*10^6	=35.12*10^9
3.41	=26.09*10^6	=3.02*10^9
