22.93	=6.47*10^6	=16.41*10^9
358.66	=3.41*10^6	=165.04*10^9
3.83	=137.58*10^6	=2.92*10^9
94.43	=49.99*10^6	=569.38*10^9
191.17	=2.23*10^6	=66.99*10^9
10.04	=15.13*10^6	=5.29*10^9
25.91	=25.47*10^6	=132.56*10^9
123,700.00	316,759.00	=1.64*10^12
38.38	=5.50*10^6	=12.04*10^9
51.48	=12.95*10^6	=65.23*10^9
68.42	=42.46*10^6	=175.59*10^9
595.08	=4.01*10^6	=389.37*10^9
756.00	=20.02*10^6	=3.65*10^12
107.50	=28.22*10^6	=1.41*10^12
34.81	=10.38*10^6	=65.14*10^9
192.50	=8.17*10^6	=194.85*10^9
33.70	=46.53*10^6	=167.56*10^9
11.02	=28.19*10^6	=114.69*10^9
74,700.00	556,922.00	=12.17*10^12
44.69	=43.41*10^6	=369.16*10^9
783,000.00	146,542.00	=23.33*10^12
444.17	=1.68*10^6	=26.63*10^9
929.00	817,900.00	=408.50*10^9
40.00	=19.12*10^6	=178.20*10^9
1,193.00	=7.78*10^6	=2.76*10^12
1,353.00	=3.28*10^6	=1.79*10^12
1,343,000.00	194,853.00	=175.85*10^12
1,680.00	=4.94*10^6	=1.75*10^12
122.70	=10.52*10^6	=1.15*10^12
37.05	=26.44*10^6	=21.83*10^9
33.33	=21.54*10^6	=33.69*10^9
3.05	=58.20*10^6	=2.70*10^9
79.39	=8.38*10^6	=134.00*10^9
7.63	=25.27*10^6	=28.34*10^9
19.86	572,699.00	=6.25*10^9
72.55	=2.86*10^6	=36.08*10^9
220.02	=4.26*10^6	=27.30*10^9
17.72	=1.89*10^6	=5.64*10^9
31.68	=2.16*10^6	=28.94*10^9
26.46	=55.40*10^6	=265.33*10^9
41.43	=5.22*10^6	=9.48*10^9
140.00	=12.07*10^6	=115.28*10^9
