18.71	=20.04*10^6	=13.42*10^9
311.39	=3.68*10^6	=143.87*10^9
2.72	=41.06*10^6	=2.09*10^9
100.73	=66.33*10^6	=598.83*10^9
203.35	=5.87*10^6	=71.30*10^9
9.12	=12.19*10^6	=4.81*10^9
23.34	=48.31*10^6	=123.04*10^9
139,200.00	922,129.00	=1.89*10^12
34.53	=4.10*10^6	=10.77*10^9
51.86	=9.14*10^6	=64.37*10^9
72.91	=52.15*10^6	=193.02*10^9
544.49	=3.08*10^6	=371.55*10^9
781.20	=23.82*10^6	=3.81*10^12
97.60	=24.21*10^6	=1.45*10^12
33.50	=14.38*10^6	=62.52*10^9
185.93	=5.09*10^6	=185.28*10^9
31.91	=80.92*10^6	=165.79*10^9
11.26	=86.97*10^6	=119.44*10^9
67,300.00	807,269.00	=11.65*10^12
44.03	=51.98*10^6	=365.11*10^9
740,000.00	205,304.00	=24.39*10^12
452.08	=2.73*10^6	=27.17*10^9
903.00	=1.32*10^6	=387.56*10^9
38.10	=18.23*10^6	=168.83*10^9
1,213.00	=10.30*10^6	=3.02*10^12
1,165.00	=6.41*10^6	=1.56*10^12
1,105,000.00	436,749.00	=181.72*10^12
1,882.00	=9.64*10^6	=2.08*10^12
115.80	=13.60*10^6	=1.09*10^12
50.40	=46.73*10^6	=31.01*10^9
39.60	=36.77*10^6	=39.39*10^9
2.37	=22.67*10^6	=2.12*10^9
71.22	=17.36*10^6	=123.57*10^9
7.90	=17.27*10^6	=30.36*10^9
12.32	=1.91*10^6	=3.88*10^9
63.29	=4.65*10^6	=32.23*10^9
236.91	=12.90*10^6	=29.53*10^9
13.87	=5.41*10^6	=4.67*10^9
29.08	779,462.00	=28.27*10^9
85.05	=7.16*10^6	=11.09*10^9
130.00	=4.05*10^6	=109.67*10^9
17.00	950,304.00	=3.45*10^9
85.88	=15.43*10^6	=221.69*10^9
