24.02	=4.13*10^6	=17.07*10^9
346.38	=2.11*10^6	=159.84*10^9
4.15	=6.63*10^6	=3.19*10^9
98.97	=58.46*10^6	=587.53*10^9
226.70	=1.82*10^6	=78.61*10^9
10.40	=10.36*10^6	=5.55*10^9
25.00	=19.87*10^6	=127.61*10^9
158,200.00	681,745.00	=2.22*10^12
37.69	=1.77*10^6	=11.68*10^9
53.90	=16.20*10^6	=67.57*10^9
77.26	=29.48*10^6	=197.47*10^9
586.08	=1.63*10^6	=397.42*10^9
803.60	=13.57*10^6	=3.93*10^12
100.50	=36.88*10^6	=1.49*10^12
37.58	=11.27*10^6	=70.48*10^9
191.20	=2.26*10^6	=190.22*10^9
35.00	=20.84*10^6	=172.81*10^9
12.32	=44.97*10^6	=128.22*10^9
72,600.00	822,558.00	=12.80*10^12
45.91	=36.94*10^6	=373.02*10^9
725,000.00	155,529.00	=23.90*10^12
475.68	=1.71*10^6	=28.40*10^9
882.00	424,400.00	=386.47*10^9
41.27	=15.16*10^6	=185.10*10^9
1,302.50	=8.05*10^6	=3.22*10^12
1,325.00	=4.87*10^6	=1.78*10^12
1,201,000.00	215,408.00	=195.82*10^12
2,016.00	=10.70*10^6	=2.13*10^12
128.30	=10.16*10^6	=1.20*10^12
50.70	=20.25*10^6	=30.91*10^9
39.59	=26.20*10^6	=38.99*10^9
3.08	=13.76*10^6	=2.72*10^9
75.81	=8.47*10^6	=125.89*10^9
8.32	=12.36*10^6	=32.01*10^9
13.34	=2.15*10^6	=4.09*10^9
73.13	=1.74*10^6	=36.04*10^9
277.39	=11.18*10^6	=35.65*10^9
16.86	=1.26*10^6	=5.43*10^9
30.69	740,806.00	=29.29*10^9
26.10	=21.04*10^6	=260.48*10^9
58.75	=7.63*10^6	=6.69*10^9
132.00	=8.26*10^6	=111.34*10^9
19.81	504,263.00	=4.12*10^9
