Apple,122.02,696710.0
Google,536.94,358510.0
Facebook,75.19,208300.0
Twitter,46.26,30010.0
Cisco Systems,27.49,138710.0
Microsoft,42.6,346980.0
Oracle,43.99,190370.0
Yahoo!,43.07,40270.0
Adobe Systems,72.76,36030.0
Alibaba Group Holding,87.26,213810.0
Amazon.com,372.99,172290.0
AMD,3.04,2350.0
Baidu,219.44,75100.0
BlackBerry,9.91,5220.0
Activision Blizzard,22.28,15870.0
Electronic Arts,54.76,16780.0
eBay,55.27,65610.0
GoPro,43.8,5680.0
Hewlett-Packard,37.89,68770.0
International Business Machines,158.56,154830.0
Intel,33.7,159220.0
King Digital Enter.,13.82,4230.0
Netflix,453.95,26800.0
Nokia,7.77,27900.0
QUALCOMM,70.26,110490.0
Weibo,12.61,2530.0
Zynga,2.8,2480.0
Nuance Communications,14.01,4620.0
Tesla Motors,216.29,27160.0
Koninklijke Philips,28.13,25910.0
Samsung Electronics,1235.29384951,206371.563627
LG Electronics,54.69935865,9526.80496488
Daum Kakao,132.007785542,7612.32741213
Naver,613.544472858,21250.7008355
HTC,4.69632544266,3948.0865647
Hon Hai Precision Industry,2.69721393666,40299.5494066
Hitachi,6.62276575729,31525.0339709
NEXON,10.0595798056,4211.05884812
Panasonic,11.0253998119,27176.7534232
Rakuten,14.1151876241,19065.5377861
Sony,25.7008466604,30437.963834
Lenovo Group,1.54754842537,17190.6837585
Tencent Holdings,17.0359289159,158623.7136
