Apple,108.71,632100.0
Google,507.82,343580.0
Facebook,76.26,212640.0
Twitter,37.57,23610.0
Cisco Systems,28.11,142710.0
Microsoft,46.39,387410.0
Oracle,43.9,191290.0
Yahoo!,47.69,44620.0
Adobe Systems,71.59,36110.0
Alibaba Group Holding,100.04,241420.0
Amazon.com,289.79,135320.0
AMD,2.23,1750.0
Baidu,220.69,77320.0
BlackBerry,10.0,5360.0
Activision Blizzard,20.25,14830.0
Electronic Arts,47.86,14910.0
eBay,53.65,67270.0
GoPro,47.56,6130.0
Hewlett-Packard,38.62,70280.0
International Business Machines,157.11,156120.0
Intel,36.13,177440.0
King Digital Enter.,12.52,4150.0
Netflix,346.36,20760.0
Nokia,7.67,28910.0
QUALCOMM,72.74,120640.0
Weibo,12.97,2600.0
Zynga,2.63,2400.0
Nuance Communications,13.32,4370.0
Tesla Motors,192.0,24590.0
Koninklijke Philips,29.31,26600.0
Samsung Electronics,1261.26705859,203917.09835
LG Electronics,55.6170969714,9579.01075111
Daum Kakao,141.754650463,8310.38936564
Naver,726.239778635,23965.9126949
HTC,4.99147027232,3953.37082201
Hon Hai Precision Industry,2.67580716497,39489.4800025
Hitachi,7.52838096843,36479.2855789
NEXON,9.32622843784,4015.75433349
Panasonic,11.5924935235,28728.4904905
Rakuten,13.6481391773,18281.7666758
Sony,20.7460140273,23336.6330378
Lenovo Group,1.33386653595,14903.4430269
Tencent Holdings,16.008978444,148350.726919
