Apple,111.96,656630.0
Google,501.62,341840.0
Facebook,77.77,216810.0
Twitter,40.09,25440.0
Cisco Systems,28.61,146300.0
Microsoft,47.85,394420.0
Oracle,43.7,191900.0
Yahoo!,49.35,46750.0
Adobe Systems,72.86,36340.0
Alibaba Group Holding,102.16,253940.0
Amazon.com,297.56,137770.0
AMD,2.62,2030.0
Baidu,223.98,78560.0
BlackBerry,10.22,5400.0
Activision Blizzard,19.04,13690.0
Electronic Arts,48.0,14920.0
eBay,56.33,69980.0
GoPro,56.29,7190.0
Hewlett-Packard,40.41,74120.0
International Business Machines,159.38,157730.0
Intel,37.4,180800.0
King Digital Enter.,13.64,4300.0
Netflix,325.19,19590.0
Nokia,7.61,28870.0
QUALCOMM,74.86,124470.0
Weibo,13.77,2790.0
Zynga,2.62,2370.0
Nuance Communications,13.68,4410.0
Tesla Motors,206.2,25850.0
Koninklijke Philips,27.7,25970.0
Samsung Electronics,1227.70261907,202355.465294
LG Electronics,56.3881337361,9645.57994966
Daum Kakao,130.74711985,7811.81950296
Naver,678.49136528,22426.8902632
HTC,4.61009532739,3747.77308955
Hon Hai Precision Industry,2.69729645257,40006.2509767
Hitachi,7.41547887967,35874.5898101
NEXON,9.33745164684,4020.63627105
Panasonic,11.4832215046,28163.2293836
Rakuten,14.0229412973,18607.8479856
Sony,21.1224220377,24307.5491704
Lenovo Group,1.3798795507,15356.6408315
Tencent Holdings,16.4682821144,154752.846808
