Apple,117.73,685340.0
Google,525.87,360320.0
Facebook,74.25,208970.0
Twitter,38.78,24610.0
Cisco Systems,26.8,137030.0
Microsoft,41.09,336850.0
Oracle,42.65,187290.0
Yahoo!,44.55,42180.0
Adobe Systems,71.08,35300.0
Alibaba Group Holding,90.18,224310.0
Amazon.com,361.94,168400.0
AMD,2.73,2050.0
Baidu,215.64,75860.0
BlackBerry,10.06,5310.0
Activision Blizzard,21.52,15200.0
Electronic Arts,54.32,17000.0
eBay,53.94,66410.0
GoPro,53.98,6730.0
Hewlett-Packard,36.95,67770.0
International Business Machines,157.07,155660.0
Intel,33.18,159480.0
King Digital Enter.,13.5,4250.0
Netflix,451.81,26760.0
Nokia,7.77,29150.0
QUALCOMM,66.11,107980.0
Weibo,12.5,2480.0
Zynga,2.59,2290.0
Nuance Communications,13.94,4460.0
Tesla Motors,215.54,26510.0
Koninklijke Philips,28.83,26080.0
Samsung Electronics,1246.01498684,205884.365066
LG Electronics,55.0034434162,9486.49770363
Daum Kakao,136.82448611,8154.73937216
Naver,649.460227402,21381.1063628
HTC,5.030149159,4173.27832434
Hon Hai Precision Industry,2.77372262774,40939.3843224
Hitachi,7.36147757256,36088.1777173
NEXON,9.44761256277,4261.55417482
Panasonic,11.5541748234,28172.6104349
Rakuten,13.8352200187,18980.3387522
Sony,22.9594008001,26555.4515278
Lenovo Group,1.41088470467,15457.8282177
Tencent Holdings,17.4103688419,158627.805004
