Apple,123.77,720930.0
Google,535.89,365830.0
Facebook,75.87,212360.0
Twitter,46.98,29810.0
Cisco Systems,27.45,140370.0
Microsoft,42.39,347760.0
Oracle,43.72,191990.0
Yahoo!,42.93,40670.0
Adobe Systems,72.68,36220.0
Alibaba Group Holding,86.47,215080.0
Amazon.com,372.97,173200.0
AMD,3.01,2340.0
Baidu,216.86,76060.0
BlackBerry,9.85,5200.0
Activision Blizzard,22.42,16120.0
Electronic Arts,55.04,17060.0
eBay,54.9,66430.0
GoPro,44.35,5670.0
Hewlett-Packard,38.15,69720.0
International Business Machines,158.66,157230.0
Intel,33.72,163040.0
King Digital Enter.,14.02,4420.0
Netflix,460.19,27840.0
Nokia,7.77,28820.0
QUALCOMM,70.6,116450.0
Weibo,12.5,2530.0
Zynga,2.83,2560.0
Nuance Communications,13.97,4540.0
Tesla Motors,209.83,26310.0
Koninklijke Philips,28.15,26230.0
Samsung Electronics,1223.57020629,204412.979777
LG Electronics,54.1802305369,9436.39015184
Daum Kakao,133.283367121,7684.56269781
Naver,607.721585855,21049.0195636
HTC,4.70011077702,3951.25811046
Hon Hai Precision Industry,2.68396898243,40196.2335813
Hitachi,6.58603212354,31350.1781638
NEXON,10.0037836422,4187.70191552
Panasonic,10.9642466602,27026.0156585
Rakuten,14.0368967481,18959.7894465
Sony,25.5582951158,30269.1375375
Lenovo Group,1.54490940744,17161.6480753
Tencent Holdings,16.9707911535,158617.576891
