Apple,109.14,658780.0
Google,518.63,363580.0
Facebook,75.78,216040.0
Twitter,38.92,25480.0
Cisco Systems,26.9,143030.0
Microsoft,42.66,387500.0
Oracle,43.4,192450.0
Yahoo!,47.99,46840.0
Adobe Systems,71.46,36250.0
Alibaba Group Holding,102.94,257440.0
Amazon.com,306.75,143370.0
AMD,2.7,2020.0
Baidu,227.53,80480.0
BlackBerry,10.56,5550.0
Activision Blizzard,20.47,14980.0
Electronic Arts,48.41,15380.0
eBay,54.69,69650.0
GoPro,51.42,6440.0
Hewlett-Packard,37.36,70880.0
International Business Machines,153.67,154710.0
Intel,34.19,173120.0
King Digital Enter.,12.65,4110.0
Netflix,454.17,26980.0
Nokia,8.01,30020.0
QUALCOMM,71.77,119950.0
Weibo,12.89,2640.0
Zynga,2.66,2410.0
Nuance Communications,13.77,4490.0
Tesla Motors,205.98,25900.0
Koninklijke Philips,28.7,28110.0
Samsung Electronics,1299.96750081,212618.97024
LG Electronics,59.7056502159,10019.0352384
Daum Kakao,142.160731696,8486.93068388
Naver,709.410836158,23594.4101397
HTC,5.08610976984,4273.61982939
Hon Hai Precision Industry,2.85852245292,42169.6442942
Hitachi,7.81123969468,37697.7220048
NEXON,9.85744487557,4218.15433991
Panasonic,11.6531809576,27678.9580485
Rakuten,13.9753266711,17745.0988716
Sony,23.3403238268,27084.6245935
Lenovo Group,1.35701662732,14989.100009
Tencent Holdings,17.5560801311,159952.530217
