Apple,112.4,643980.0
Google,534.39,352120.0
Facebook,77.65,213990.0
Twitter,39.07,24020.0
Cisco Systems,28.5,142510.0
Microsoft,47.13,378910.0
Oracle,44.05,190940.0
Yahoo!,48.89,45530.0
Adobe Systems,73.48,35590.0
Alibaba Group Holding,104.0,256820.0
Amazon.com,310.32,137310.0
AMD,2.47,1880.0
Baidu,229.88,80130.0
BlackBerry,10.51,5230.0
Activision Blizzard,20.59,14470.0
Electronic Arts,49.36,14960.0
eBay,57.15,66520.0
GoPro,48.35,6440.0
Hewlett-Packard,40.06,70810.0
International Business Machines,155.39,150450.0
Intel,36.91,176240.0
King Digital Enter.,13.41,4120.0
Netflix,428.44,24660.0
Nokia,7.87,29040.0
QUALCOMM,71.9,119060.0
Weibo,13.13,2660.0
Zynga,2.62,2320.0
Nuance Communications,13.62,4290.0
Tesla Motors,201.62,24540.0
Koninklijke Philips,30.18,27560.0
Samsung Electronics,1278.4038426,213486.052097
LG Electronics,56.992425642,9523.36966562
Daum Kakao,138.370589322,8341.03085165
Naver,705.708479586,23720.6724552
HTC,5.01205126977,4211.40002235
Hon Hai Precision Industry,2.78057111845,40862.5836007
Hitachi,7.62529717039,37075.0410655
NEXON,9.60235118256,4159.41423124
Panasonic,11.2703057635,27954.074243
Rakuten,13.166284515,17735.2132659
Sony,22.760190358,26180.5529164
Lenovo Group,1.34408255401,15076.426959
Tencent Holdings,16.9622702354,156078.684295
