Apple,109.55,636710.0
Google,518.04,345070.0
Facebook,76.74,212610.0
Twitter,37.83,23860.0
Cisco Systems,27.84,143590.0
Microsoft,45.92,382720.0
Oracle,43.49,192760.0
Yahoo!,48.18,45050.0
Adobe Systems,71.54,35660.0
Alibaba Group Holding,103.29,248600.0
Amazon.com,297.25,133720.0
AMD,2.45,1770.0
Baidu,228.28,77340.0
BlackBerry,9.93,5280.0
Activision Blizzard,20.1,14600.0
Electronic Arts,48.07,14860.0
eBay,53.38,66480.0
GoPro,50.29,6060.0
Hewlett-Packard,38.57,70890.0
International Business Machines,152.09,155160.0
Intel,36.48,174590.0
King Digital Enter.,13.12,3940.0
Netflix,409.28,21140.0
Nokia,7.71,28890.0
QUALCOMM,71.59,120320.0
Weibo,13.11,2620.0
Zynga,2.59,2370.0
Nuance Communications,13.33,4300.0
Tesla Motors,196.57,24010.0
Koninklijke Philips,29.71,27480.0
Samsung Electronics,1273.43441123,206121.679646
LG Electronics,56.2701703736,9764.52956483
Daum Kakao,140.399591765,8229.05269352
Naver,704.296576898,23510.2656283
HTC,5.02504571837,4169.19774191
Hon Hai Precision Industry,2.70334738014,39437.0676632
Hitachi,7.44141995823,36107.7991155
NEXON,9.38633653822,3948.9417117
Panasonic,11.2044107326,28243.5712051
Rakuten,13.3057662549,17927.0571721
Sony,22.1170839781,24100.0532738
Lenovo Group,1.33367728621,14758.1581323
Tencent Holdings,16.935379853,153488.972011
