Apple,127.08,740210.0
Google,549.01,374400.0
Facebook,75.74,212000.0
Twitter,48.5,30770.0
Cisco Systems,29.43,150490.0
Microsoft,43.87,359900.0
Oracle,43.93,192910.0
Yahoo!,44.42,42080.0
Adobe Systems,76.51,38130.0
Alibaba Group Holding,89.05,221500.0
Amazon.com,381.83,177320.0
AMD,3.15,2440.0
Baidu,212.13,74470.0
BlackBerry,10.09,5340.0
Activision Blizzard,23.11,16620.0
Electronic Arts,56.39,17480.0
eBay,56.47,68330.0
GoPro,45.27,5780.0
Hewlett-Packard,38.56,70470.0
International Business Machines,160.4,158960.0
Intel,34.36,166130.0
King Digital Enter.,16.7,5260.0
Netflix,466.1,28200.0
Nokia,8.02,29730.0
QUALCOMM,70.88,116920.0
Weibo,13.3,2700.0
Zynga,2.24,2020.0
Nuance Communications,14.26,4640.0
Tesla Motors,203.77,25550.0
Koninklijke Philips,28.93,26980.0
Samsung Electronics,1248.91666287,205984.582402
LG Electronics,54.4633489942,9369.15568125
Daum Kakao,128.358345117,7571.95639283
Naver,612.142498746,20179.7199288
HTC,4.73805117733,3982.83453513
Hon Hai Precision Industry,2.73754068024,39563.5249825
Hitachi,6.56014165859,31704.5406636
NEXON,9.02230279523,3890.88916059
Panasonic,11.7079134871,28753.3201231
Rakuten,14.8657194654,19731.0173279
Sony,26.9657236814,31198.6171424
Lenovo Group,1.56532054258,17360.3589664
Tencent Holdings,16.9812780443,158595.079684
