Apple,120.2,693470.0
Google,526.36,360050.0
Facebook,76.14,211890.0
Twitter,40.45,25530.0
Cisco Systems,26.79,137500.0
Microsoft,41.81,343450.0
Oracle,42.47,188160.0
Yahoo!,44.42,42320.0
Adobe Systems,72.3,35910.0
Alibaba Group Holding,90.37,224230.0
Amazon.com,366.11,169630.0
AMD,2.85,2190.0
Baidu,217.95,76270.0
BlackBerry,9.91,5250.0
Activision Blizzard,21.64,15650.0
Electronic Arts,54.99,16950.0
eBay,53.91,67110.0
GoPro,51.98,6990.0
Hewlett-Packard,38.08,69280.0
International Business Machines,157.12,156350.0
Intel,33.54,163600.0
King Digital Enter.,13.46,4260.0
Netflix,449.15,27580.0
Nokia,7.74,29130.0
QUALCOMM,67.2,111950.0
Weibo,12.95,2580.0
Zynga,2.57,2350.0
Nuance Communications,14.26,4600.0
Tesla Motors,218.47,27560.0
Koninklijke Philips,28.35,26720.0
Samsung Electronics,1248.97182691,206369.848221
LG Electronics,56.3369926339,9714.2253204
Daum Kakao,137.487995074,7931.29276396
Naver,666.302115165,21928.2323694
HTC,5.03734307961,4192.59494677
Hon Hai Precision Industry,2.7808676307,40362.3073256
Hitachi,7.38229305983,36204.4143829
NEXON,9.58352145431,4322.80707732
Panasonic,11.3341113733,27600.5417884
Rakuten,13.9323105231,19081.8560512
Sony,23.5882408062,27344.9812163
Lenovo Group,1.47574819401,15254.127967
Tencent Holdings,17.2471620227,162538.69969
