Apple,118.47,689820.0
Google,527.57,368030.0
Facebook,74.97,212870.0
Twitter,37.45,23850.0
Cisco Systems,26.8,137990.0
Microsoft,41.28,337230.0
Oracle,42.7,187740.0
Yahoo!,44.64,42140.0
Adobe Systems,71.1,35710.0
Alibaba Group Holding,90.07,221790.0
Amazon.com,364.16,166130.0
AMD,2.67,1980.0
Baidu,217.37,77360.0
BlackBerry,10.06,5460.0
Activision Blizzard,21.12,15410.0
Electronic Arts,54.97,17360.0
eBay,53.67,66870.0
GoPro,52.06,6640.0
Hewlett-Packard,36.47,67340.0
International Business Machines,154.59,154520.0
Intel,33.65,163690.0
King Digital Enter.,13.23,4150.0
Netflix,440.53,26660.0
Nokia,7.6,29450.0
QUALCOMM,65.49,106470.0
Weibo,12.48,2500.0
Zynga,2.56,2290.0
Nuance Communications,13.8,4440.0
Tesla Motors,210.84,26090.0
Koninklijke Philips,28.16,26330.0
Samsung Electronics,1243.98128572,205420.593892
LG Electronics,55.0152542296,9457.16766922
Daum Kakao,135.401179418,7874.91077071
Naver,646.542905078,21315.0009775
HTC,4.99984177716,4174.55143825
Hon Hai Precision Industry,2.73725515015,40188.6016265
Hitachi,7.46535462563,36092.4784637
NEXON,9.88286969253,4262.0620382
Panasonic,11.4704280023,28175.9678573
Rakuten,14.2667438456,18982.6007014
Sony,22.9706493241,26558.616228
Lenovo Group,1.3130401135,14528.569586
Tencent Holdings,17.5158003354,163807.558365
