Apple,128.95,742880.0
Google,537.9,372070.0
Facebook,78.99,221820.0
Twitter,37.84,24760.0
Cisco Systems,29.13,148700.0
Microsoft,48.65,393600.0
Oracle,44.37,193770.0
Yahoo!,42.51,39880.0
Adobe Systems,76.43,38240.0
Alibaba Group Holding,81.17,201900.0
Amazon.com,422.87,196920.0
AMD,2.31,1800.0
Baidu,202.47,71110.0
BlackBerry,10.27,5440.0
Activision Blizzard,23.05,16730.0
Electronic Arts,59.33,18390.0
eBay,59.29,72030.0
GoPro,49.98,6730.0
Hewlett-Packard,33.8,61430.0
International Business Machines,173.67,171020.0
Intel,33.42,158540.0
King Digital Enter.,15.9,5020.0
Netflix,557.03,33770.0
Nokia,6.5,24870.0
QUALCOMM,68.42,111500.0
Weibo,16.62,3430.0
Zynga,2.47,2270.0
Nuance Communications,15.13,4920.0
Tesla Motors,226.03,28570.0
Koninklijke Philips,28.77,26640.0
Samsung Electronics,1310.81375058,216219.468732
LG Electronics,55.4503839407,9534.87403321
Daum Kakao,100.069891552,5933.8390828
Naver,577.646737546,19041.9765886
HTC,4.04917552932,3352.52219729
Hon Hai Precision Industry,3.00517123622,44231.9575894
Hitachi,6.81512678483,33626.1751474
NEXON,12.8012518259,5845.04492507
Panasonic,14.1163349134,34458.5062154
Rakuten,17.3873960106,24137.6009722
Sony,30.2011328026,35790.2359242
Lenovo Group,1.74166580658,19346.6818041
Tencent Holdings,20.6806687997,193518.422954
